filing_id,politician,member_status,state_district,source_pdf,source_year,needs_review,original_pdf_url,review_level,review_reason,pages_with_words,pages_with_geometry,table_pages,recovered_pages,suspected_missed_pages,geometry_error
8217820,,,,8217820.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217820.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217840,,,,8217840.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217840.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217844,,,,8217844.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217844.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217846,,,,8217846.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217846.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217852,,,,8217852.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217852.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217856,,,,8217856.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217856.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217868,,,,8217868.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217868.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217869,,,,8217869.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217870,,,,8217870.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217870.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217876,,,,8217876.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217876.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217884,,,,8217884.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217884.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217886,,,,8217886.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217886.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217887,,,,8217887.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217887.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217894,,,,8217894.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217902,,,,8217902.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217902.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8217905,,,,8217905.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217905.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
